
  Vtrue,_ktas |   _Vind,_kias |   Vtrue,__mph |   _Vind,__mph |   __VVI,__fpm |   Vtotl,_ktas |   Vtotl,__mph |   _Mach,ratio |   Gload,norml |   Gload,axial |   Gload,_side |   _Qdot,_d/ss |   _Pdot,_d/ss |   _Rdot,_d/ss |   ____Q,__d/s |   ____P,__d/s |   ____R,__d/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   __alt,__ind |   __lat,south |   __lon,_west | 
    294.07324 |     233.76337 |     338.41345 |     269.01010 |    2125.56738 |     294.07324 |     338.41345 |       0.46477 |       0.98294 |       0.16217 |       0.00002 |      -0.00716 |       0.01058 |       0.00025 |      -0.01192 |       0.00009 |       0.00012 |       8.75388 |       0.14814 |     337.23627 |     342.11496 |     342.17776 |       4.87868 |      26.15809 |     -80.39790 |   15912.21582 |   15879.13672 |   15869.33105 |      25.00000 |     -82.00000 | 
    294.23672 |     233.76393 |     338.60159 |     269.01074 |    2121.62061 |     294.23672 |     338.60159 |       0.46509 |       0.98294 |       0.16199 |       0.00002 |      -0.00304 |       0.01038 |       0.00032 |      -0.01106 |       0.00009 |       0.00007 |       8.74222 |       0.14811 |     337.23630 |     342.11484 |     342.17773 |       4.87855 |      26.15934 |     -80.39848 |   15947.66797 |   15904.97168 |   15904.77637 |      25.00000 |     -82.00000 | 
    294.39908 |     233.76451 |     338.78845 |     269.01141 |    2117.71655 |     294.39908 |     338.78845 |       0.46541 |       0.98291 |       0.16180 |       0.00002 |       0.00046 |       0.01064 |       0.00029 |      -0.01174 |       0.00008 |       0.00013 |       8.73037 |       0.14806 |     337.23636 |     342.11478 |     342.17764 |       4.87841 |      26.16059 |     -80.39907 |   15982.78809 |   15937.33496 |   15939.91309 |      25.00000 |     -82.00000 | 
    294.56143 |     233.76451 |     338.97525 |     269.01141 |    2113.76611 |     294.56143 |     338.97525 |       0.46572 |       0.98301 |       0.16163 |       0.00002 |      -0.00683 |       0.01071 |       0.00024 |      -0.01207 |       0.00010 |       0.00010 |       8.71924 |       0.14804 |     337.23642 |     342.11469 |     342.17746 |       4.87828 |      26.16184 |     -80.39965 |   16017.90918 |   15970.74707 |   15975.03223 |      25.00000 |     -82.00000 | 
    294.72485 |     233.76509 |     339.16333 |     269.01208 |    2109.83081 |     294.72485 |     339.16333 |       0.46604 |       0.98302 |       0.16145 |       0.00002 |      -0.00311 |       0.01086 |       0.00034 |      -0.01098 |       0.00008 |       0.00011 |       8.70764 |       0.14800 |     337.23648 |     342.11462 |     342.17746 |       4.87814 |      26.16309 |     -80.40024 |   16053.06836 |   16011.77246 |   16010.19141 |      25.00000 |     -82.00000 | 
    294.88782 |     233.76566 |     339.35086 |     269.01273 |    2105.92261 |     294.88782 |     339.35086 |       0.46636 |       0.98307 |       0.16128 |       0.00002 |      -0.00310 |       0.01101 |       0.00029 |      -0.01129 |       0.00009 |       0.00013 |       8.69644 |       0.14796 |     337.23654 |     342.11456 |     342.17731 |       4.87801 |      26.16434 |     -80.40082 |   16088.16699 |   16052.57812 |   16045.29395 |      25.00000 |     -82.00000 | 
    295.05130 |     233.76624 |     339.53900 |     269.01340 |    2102.04175 |     295.05130 |     339.53900 |       0.46668 |       0.98306 |       0.16109 |       0.00002 |      -0.00139 |       0.01099 |       0.00037 |      -0.01116 |       0.00007 |       0.00011 |       8.68472 |       0.14792 |     337.23660 |     342.11447 |     342.17719 |       4.87787 |      26.16559 |     -80.40141 |   16123.25977 |   16092.01367 |   16080.38477 |      25.00000 |     -82.00000 | 
    295.21417 |     233.76680 |     339.72641 |     269.01404 |    2098.14453 |     295.21420 |     339.72644 |       0.46700 |       0.98310 |       0.16092 |       0.00002 |      -0.00200 |       0.01125 |       0.00020 |      -0.01191 |       0.00010 |       0.00009 |       8.67341 |       0.14787 |     337.23669 |     342.11441 |     342.17709 |       4.87773 |      26.16685 |     -80.40199 |   16158.26270 |   16130.94434 |   16115.39453 |      25.00000 |     -82.00000 | 
    295.37299 |     233.76738 |     339.90918 |     269.01471 |    2094.34619 |     295.37299 |     339.90918 |       0.46731 |       0.98315 |       0.16075 |       0.00002 |      -0.00430 |       0.01124 |       0.00040 |      -0.01162 |       0.00009 |       0.00006 |       8.66237 |       0.14783 |     337.23669 |     342.11429 |     342.17697 |       4.87760 |      26.16807 |     -80.40257 |   16192.33105 |   16166.92676 |   16149.41895 |      25.00000 |     -82.00000 | 
    295.53882 |     233.76738 |     340.10004 |     269.01471 |    2090.39136 |     295.53882 |     340.10004 |       0.46764 |       0.98318 |       0.16057 |       0.00002 |      -0.00592 |       0.01148 |       0.00032 |      -0.01123 |       0.00009 |       0.00014 |       8.65081 |       0.14777 |     337.23676 |     342.11423 |     342.17694 |       4.87746 |      26.16935 |     -80.40316 |   16227.82227 |   16200.40332 |   16184.93457 |      25.00000 |     -82.00000 | 
    295.70367 |     233.76794 |     340.28973 |     269.01535 |    2086.45581 |     295.70367 |     340.28973 |       0.46796 |       0.98314 |       0.16038 |       0.00002 |      -0.00105 |       0.01149 |       0.00034 |      -0.01096 |       0.00009 |       0.00013 |       8.63885 |       0.14773 |     337.23682 |     342.11414 |     342.17685 |       4.87732 |      26.17062 |     -80.40376 |   16262.98730 |   16234.45898 |   16220.11230 |      25.00000 |     -82.00000 | 
    295.86746 |     233.76794 |     340.47821 |     269.01535 |    2082.50977 |     295.86746 |     340.47821 |       0.46828 |       0.98320 |       0.16021 |       0.00002 |      -0.00449 |       0.01164 |       0.00032 |      -0.01242 |       0.00009 |       0.00009 |       8.62749 |       0.14769 |     337.23691 |     342.11407 |     342.17670 |       4.87718 |      26.17189 |     -80.40434 |   16297.94727 |   16268.91504 |   16255.08301 |      25.00000 |     -82.00000 | 
    296.03110 |     233.76851 |     340.66653 |     269.01599 |    2078.54810 |     296.03110 |     340.66653 |       0.46860 |       0.98322 |       0.16003 |       0.00002 |      -0.00332 |       0.01184 |       0.00035 |      -0.01068 |       0.00009 |       0.00007 |       8.61596 |       0.14764 |     337.23691 |     342.11395 |     342.17670 |       4.87704 |      26.17315 |     -80.40494 |   16332.75781 |   16303.63086 |   16289.89746 |      25.00000 |     -82.00000 | 
    296.19434 |     233.76907 |     340.85437 |     269.01666 |    2074.61963 |     296.19431 |     340.85434 |       0.46892 |       0.98324 |       0.15986 |       0.00002 |      -0.00160 |       0.01202 |       0.00031 |      -0.01113 |       0.00010 |       0.00011 |       8.60455 |       0.14759 |     337.23697 |     342.11386 |     342.17664 |       4.87691 |      26.17442 |     -80.40553 |   16367.46191 |   16337.27246 |   16324.60840 |      25.00000 |     -82.00000 | 
    296.35687 |     233.76907 |     341.04141 |     269.01666 |    2070.71802 |     296.35687 |     341.04141 |       0.46924 |       0.98327 |       0.15968 |       0.00002 |      -0.00390 |       0.01199 |       0.00027 |      -0.01237 |       0.00012 |       0.00005 |       8.59311 |       0.14756 |     337.23700 |     342.11377 |     342.17645 |       4.87677 |      26.17568 |     -80.40611 |   16402.04492 |   16371.18652 |   16359.19727 |      25.00000 |     -82.00000 | 
    296.51987 |     233.76965 |     341.22897 |     269.01733 |    2066.75854 |     296.51987 |     341.22897 |       0.46956 |       0.98323 |       0.15950 |       0.00002 |      -0.00019 |       0.01197 |       0.00036 |      -0.01093 |       0.00011 |       0.00003 |       8.58120 |       0.14752 |     337.23700 |     342.11362 |     342.17645 |       4.87663 |      26.17694 |     -80.40671 |   16436.58594 |   16403.60742 |   16393.73828 |      25.00000 |     -82.00000 | 
    296.68243 |     233.76965 |     341.41605 |     269.01733 |    2062.77881 |     296.68243 |     341.41605 |       0.46988 |       0.98334 |       0.15934 |       0.00002 |      -0.00554 |       0.01206 |       0.00029 |      -0.01186 |       0.00012 |       0.00008 |       8.57025 |       0.14748 |     337.23703 |     342.11353 |     342.17630 |       4.87649 |      26.17820 |     -80.40730 |   16471.02148 |   16436.35938 |   16428.18164 |      25.00000 |     -82.00000 | 
    296.84561 |     233.76965 |     341.60385 |     269.01733 |    2058.82520 |     296.84561 |     341.60385 |       0.47020 |       0.98328 |       0.15915 |       0.00002 |      -0.00236 |       0.01213 |       0.00033 |      -0.01151 |       0.00013 |       0.00005 |       8.55817 |       0.14746 |     337.23703 |     342.11337 |     342.17630 |       4.87635 |      26.17947 |     -80.40788 |   16505.50000 |   16471.17969 |   16462.64844 |      25.00000 |     -82.00000 | 
    297.00830 |     233.77022 |     341.79108 |     269.01797 |    2054.83081 |     297.00830 |     341.79108 |       0.47051 |       0.98341 |       0.15899 |       0.00002 |      -0.00754 |       0.01216 |       0.00033 |      -0.01142 |       0.00013 |       0.00007 |       8.54738 |       0.14744 |     337.23706 |     342.11328 |     342.17612 |       4.87622 |      26.18073 |     -80.40848 |   16539.77734 |   16505.67578 |   16496.94531 |      25.00000 |     -82.00000 | 
    297.17084 |     233.77080 |     341.97809 |     269.01865 |    2050.91138 |     297.17084 |     341.97809 |       0.47083 |       0.98334 |       0.15881 |       0.00002 |       0.00006 |       0.01230 |       0.00037 |      -0.01086 |       0.00012 |       0.00009 |       8.53551 |       0.14742 |     337.23706 |     342.11313 |     342.17606 |       4.87608 |      26.18199 |     -80.40907 |   16573.95508 |   16541.08203 |   16531.12891 |      25.00000 |     -82.00000 | 
    297.33344 |     233.77136 |     342.16522 |     269.01929 |    2046.96631 |     297.33344 |     342.16522 |       0.47115 |       0.98347 |       0.15864 |       0.00002 |      -0.00472 |       0.01226 |       0.00026 |      -0.01127 |       0.00014 |       0.00001 |       8.52484 |       0.14741 |     337.23712 |     342.11307 |     342.17575 |       4.87594 |      26.18326 |     -80.40966 |   16608.12500 |   16575.74609 |   16565.29492 |      25.00000 |     -82.00000 | 
